,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE
"(0.10,0.45]",0.04074074074074074,-0.022754491017964073,0.031055900621118012,0.02944785276073619,-0.08734177215189871,-0.0911242603550296,-0.05764705882352942,0.04276729559748428,-0.10559006211180122,-0.0388235294117647,-0.059740259740259746,-0.06746987951807229,-0.09142857142857143,-0.09440993788819875,0.02597402597402598,0.013157894736842111,-0.027710843373493978,-0.14069767441860467,-0.015294117647058824,-0.0805194805194805,-0.03975903614457831,-0.049704142011834325,-0.09028571428571429,-0.0986301369863014,0.03246753246753246,-0.00777777777777778,-0.16794871794871793,-0.0456140350877193,-0.009638554216867474,-0.09934640522875816,-0.06097560975609756,-0.0430379746835443,-0.10714285714285714,-0.0654970760233918,0.0049689440993788865,-0.02911392405063291,-0.028758169934640535,-0.10532544378698223,-0.016666666666666673,-0.055345911949685536,-0.056962025316455694,0.005780346820809247,-0.07349397590361445,-0.09240506329113925,0.007228915662650598,-0.021686746987951804,-0.0375,-0.08536585365853659,-0.06708074534161491,0.021656050955414008,-0.08023255813953489,0.02699386503067485,-0.08249999999999999,-0.08263473053892213,-0.057692307692307696,-0.06748466257668713,0.017543859649122806,-0.030120481927710843,-0.08481012658227849,-0.08554216867469878,-0.06506024096385542,-0.0725,-0.06341463414634148,-0.06057142857142858,-0.07898089171974522,0.008860759493670885,-0.04819277108433735,-0.02634730538922157,-0.03821656050955413,0.001307189542483662,-0.12513966480446925,-0.015189873417721527,-0.05341614906832297,-0.07439024390243902,0.014545454545454552,-0.02207792207792209,-0.04418604651162791,-0.03048780487804877,0.012195121951219502,-0.008917197452229287,-0.10650887573964497,0.006250000000000004,-0.08606060606060607,-0.06303030303030303,-0.0012499999999999955,-0.11904761904761904,-0.029629629629629624,-0.08518518518518517,0.01366459627329193,-0.02395209580838324
"(0.45,0.80]",0.09787234042553193,0.11692307692307694,0.1099236641221374,0.036363636363636404,0.06818181818181818,0.18405797101449275,0.06612903225806452,0.1496402877697842,0.10215827338129498,0.06507936507936507,0.06478873239436622,0.14029850746268657,0.07500000000000001,0.02857142857142857,0.15223880597014927,-0.0481751824817518,0.1104895104895105,0.16065573770491806,0.17482517482517482,0.12481203007518799,-0.017460317460317464,0.12153846153846153,0.09705882352941175,0.06176470588235297,0.0330827067669173,0.1492537313432836,0.17777777777777778,0.088,0.060740740740740734,0.15211267605633802,-0.009999999999999986,0.17297297297297298,0.08805970149253732,0.0029197080291970957,0.13984962406015036,0.1787878787878788,0.10364963503649637,0.10606060606060606,0.12180451127819548,0.08135593220338981,0.052054794520547974,0.15072463768115946,0.043200000000000016,0.1214814814814815,0.08732394366197184,0.03206106870229007,0.13802816901408452,0.1503875968992248,-0.027480916030534347,0.10375939849624058,0.13913043478260873,0.20923076923076925,0.02000000000000002,0.025352112676056335,0.22608695652173916,0.1144927536231884,0.03809523809523811,0.10416666666666666,0.12121212121212124,0.012698412698412705,0.1097744360902256,0.05970149253731343,0.08296296296296297,0.04929577464788732,0.1181818181818182,0.13437499999999997,0.10534351145038169,0.0666666666666667,0.08721804511278197,0.11223021582733814,0.13064516129032258,0.050359712230215826,0.18167938931297714,0.02635658914728683,0.08450704225352115,0.16377952755905512,0.06521739130434784,0.040875912408759124,0.08682170542635662,0.08671328671328672,0.07846153846153846,0.07737226277372264,0.1859375,0.008759124087591257,0.10077519379844962,0.1563380281690141,0.07480916030534354,0.12517985611510793,0.025000000000000015,0.09763779527559056
"(0.80,1.00]",0.09743589743589746,0.17419354838709677,0.21680672268907566,0.1623931623931624,0.0888888888888889,0.20952380952380953,0.1789473684210527,0.168,0.12396694214876036,0.15798319327731097,0.050793650793650794,0.2886956521739131,0.18878504672897198,0.17121212121212123,0.0809917355371901,0.09105691056910571,0.2700854700854701,0.08333333333333333,0.12436974789915967,0.19292035398230092,0.15468750000000003,0.11707317073170734,0.09310344827586209,0.19669421487603306,0.18125000000000002,0.1915966386554622,0.17522123893805314,0.1328,0.11932773109243697,0.17413793103448275,0.16428571428571428,0.1758064516129032,0.10967741935483875,0.2145454545454546,0.17941176470588235,0.10877192982456141,0.15535714285714283,0.23225806451612901,0.13225806451612906,0.13949579831932774,0.10000000000000003,0.24033613445378152,0.15689655172413797,0.053543307086614186,0.20854700854700853,0.21415929203539819,0.05409836065573772,0.16000000000000003,0.09047619047619047,0.16528925619834714,0.18761061946902657,0.09830508474576269,0.2065040650406504,0.17310924369747901,0.13157894736842107,0.07142857142857144,0.2833333333333333,0.12456140350877196,0.1658536585365854,0.23902439024390243,0.11129032258064518,0.08173913043478263,0.2677685950413223,0.1186440677966102,0.1853658536585366,0.2218487394957983,0.16718750000000004,0.24444444444444446,0.12000000000000002,0.2108108108108108,0.048780487804878064,0.18253968253968253,0.10578512396694216,0.22372881355932203,0.1785123966942149,0.14608695652173914,0.07226890756302522,0.2095238095238095,0.15862068965517245,0.15121951219512197,0.15371900826446283,0.16379310344827586,0.24065040650406505,0.14710743801652895,0.18124999999999997,0.13675213675213677,0.13043478260869568,0.08264462809917357,0.2363636363636364,0.1033898305084746
