,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE
"(0.10,0.45]",0.024299065420560744,0.023931623931623937,0.04444444444444444,-0.02105263157894737,0.020634920634920638,0.06909090909090909,0.034482758620689655,0.04137931034482758,0.054237288135593226,0.016071428571428577,0.059504132231404966,0.037606837606837605,-0.02162162162162162,0.03934426229508196,0.023931623931623937,0.07678571428571428,-0.03418803418803419,-0.056198347107438006,0.07304347826086956,-0.0032520325203252037,-0.005357142857142858,0.023728813559322045,0.022950819672131143,0.025454545454545462,0.05811965811965811,-0.04144144144144144,0.039344262295081964,0.0035087719298245645,-3.670158759091427e-18,0.03652173913043478,0.059677419354838716,-0.01851851851851851,0.010169491525423721,0.03333333333333334,0.039344262295081964,0.020000000000000007,-0.05254237288135593,-0.02372881355932203,0.10526315789473684,0.05185185185185185,0.05384615384615385,-0.041071428571428585,0.02608695652173913,0.05982905982905983,0.023728813559322024,-0.031147540983606562,0.05045045045045044,0.04957264957264956,0.041666666666666664,-0.012280701754385967,0.03793103448275863,-0.03697478991596637,0.11206896551724138,0.006956521739130437,0.09999999999999999,-0.059459459459459456,0.001652892561983468,0.10714285714285714,-0.024590163934426226,0.02931034482758621,-0.010169491525423726,0.04102564102564102,-0.03304347826086957,0.11774193548387098,-0.01565217391304348,-0.04324324324324324,-0.035,0.04504504504504504,0.003361344537815129,0.041509433962264156,-0.006557377049180328,0.0032786885245901652,-0.09642857142857142,0.09565217391304347,0.06504065040650406,0.03931623931623932,0.037288135593220334,0.05391304347826086,0.046031746031746035,0.006779661016949164,0.03773584905660377,0.0052173913043478265,0.04237288135593221,0.07863247863247864,-0.0038461538461538455,0.0547008547008547,0.04031007751937983,0.018644067796610177,0.008695652173913038,0.05128205128205128
"(0.45,0.80]",0.010526315789473675,0.06938775510204082,0.0034782608695652284,-0.11313131313131312,0.06534653465346535,0.09259259259259257,-0.019417475728155345,0.10679611650485436,-0.007843137254901966,0.024761904761904766,0.08269230769230769,-0.03434343434343435,-0.04038461538461539,-0.031460674157303366,0.04695652173913044,-0.06785714285714285,-0.012499999999999995,0.018000000000000002,0.06213592233009709,-0.04954128440366972,-0.05000000000000001,-6.28428127146315e-18,0.03689320388349515,0.004040404040404044,-0.08113207547169811,0.014953271028037389,0.061052631578947365,-0.009009009009009012,-0.01020408163265306,0.05656565656565657,-0.04038461538461538,0.0981132075471698,-0.012244897959183671,-0.003999999999999995,0.030476190476190494,0.11650485436893206,-0.060606060606060594,0.08316831683168317,-0.007407407407407408,0.0743362831858407,-0.008000000000000005,-0.08421052631578947,0.1519230769230769,-0.054901960784313725,0.054901960784313725,0.016822429906542063,-0.08971962616822429,0.05957446808510638,-0.033962264150943396,0.092,0.011764705882352936,-0.07115384615384615,0.1595959595959596,-0.017142857142857144,0.0875,0.034693877551020415,-0.008163265306122446,0.12783505154639174,0.01682242990654206,-6.4051328343759035e-18,0.08235294117647059,0.0018018018018018053,0.023157894736842103,0.02330097087378641,0.044,0.04952380952380953,-0.11132075471698114,-0.03200000000000001,0.15294117647058822,-0.068,0.04571428571428572,-0.009708737864077667,-0.028888888888888895,0.09245283018867925,0.05535714285714286,-0.006250000000000005,0.05242718446601942,0.03302752293577981,0.06315789473684211,0.0,-0.022857142857142857,0.04528301886792453,0.06930693069306931,-0.025742574257425734,0.020618556701030927,0.03928571428571428,-0.08484848484848485,-0.05344827586206897,0.07238095238095238,-0.036781609195402305
"(0.80,1.00]",0.2,0.15833333333333335,0.2215686274509804,0.19019607843137254,0.2037735849056604,0.18,0.1608695652173913,0.16880733944954127,0.22056074766355138,0.19387755102040816,0.23636363636363636,0.19639639639639636,0.13725490196078433,0.14095238095238097,0.2356435643564356,0.18317757009345795,0.2504672897196262,0.13191489361702127,0.2693069306930693,0.1745098039215686,0.14666666666666667,0.23092783505154638,0.2528301886792453,0.11619047619047618,0.20588235294117646,0.22,0.139622641509434,0.23119266055045867,0.11515151515151514,0.22,0.1368421052631579,0.2019607843137255,0.1693693693693694,0.19454545454545458,0.11827956989247312,0.21333333333333332,0.18383838383838383,0.11238095238095239,0.20961538461538462,0.1961904761904762,0.16435643564356436,0.19411764705882353,0.11224489795918367,0.24761904761904763,0.22476190476190477,0.25773195876288657,0.12708333333333333,0.11826086956521739,0.14766355140186915,0.13111111111111112,0.23243243243243247,0.19591836734693874,0.04230769230769231,0.2792452830188679,0.06888888888888887,0.3079646017699115,0.19238095238095235,0.2320754716981132,0.20588235294117646,0.094,0.20540540540540542,0.15999999999999998,0.03725490196078431,0.1846153846153846,0.21142857142857147,0.22626262626262625,0.15045871559633026,0.20824742268041235,0.16274509803921566,0.20380952380952383,0.1962962962962963,0.2,0.158,0.1724770642201835,0.20404040404040402,0.28,0.15918367346938775,0.12727272727272726,0.16956521739130434,0.16460176991150444,0.21941747572815531,0.04952380952380952,0.25849056603773585,0.20618556701030927,0.172,0.14857142857142858,0.14757281553398058,0.06199999999999999,0.2742857142857143,0.1611650485436893
