,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE
"(0.10,0.45]",-0.027586206896551724,-0.005333333333333332,-0.04427480916030535,-0.008450704225352108,0.03943661971830985,0.012676056338028168,-0.051351351351351354,-0.013986013986013986,0.060740740740740734,0.004255319148936174,0.047887323943661964,-0.02657342657342657,-0.024999999999999994,-0.033112582781456956,0.02014388489208633,-0.043356643356643354,-0.010071942446043158,0.009722222222222219,-0.03943661971830987,-0.10857142857142858,0.06527777777777778,0.016901408450704227,0.001418439716312058,-0.05174825174825175,0.024806201550387597,0.013157894736842108,-0.012413793103448275,-0.05174825174825175,-0.031428571428571424,0.11748251748251747,0.0069930069930069965,0.050704225352112685,-0.008510638297872328,0.032432432432432434,0.0015625000000000044,-0.013333333333333324,0.009929078014184396,-0.017777777777777778,-0.010666666666666673,-0.05547445255474453,-0.002816901408450688,0.021768707482993206,0.022068965517241378,0.015827338129496403,-0.05633802816901407,-0.027210884353741492,-0.022857142857142854,0.0460431654676259,-0.055782312925170066,-0.04475524475524475,0.025,-0.034482758620689655,0.019402985074626865,0.005442176870748304,-0.004225352112676055,0.01351351351351352,-0.0029411764705882353,-0.05068493150684931,0.026760563380281696,-0.06231884057971014,0.040624999999999994,-0.01794871794871795,0.0014084507042253494,-0.0070422535211267555,0.040277777777777794,-0.03571428571428572,-0.021582733812949634,0.0027586206896551718,0.007042253521126757,-0.0054794520547945145,0.012121212121212118,0.04459459459459459,-0.012857142857142853,0.012676056338028166,0.008333333333333328,-0.0055172413793103435,0.043708609271523174,-0.06000000000000002,-0.039160839160839164,0.018978102189781024,0.03287671232876713,0.013333333333333334,-0.046153846153846156,-0.002702702702702702,0.0058394160583941646,-0.03537414965986395,-0.004225352112676057,-0.03741007194244604,-0.022695035460992916,0.03561643835616439
"(0.45,0.80]",0.0773109243697479,0.2574074074074075,0.1706422018348624,0.15619047619047619,0.2,0.1982905982905983,0.14915254237288136,0.2909090909090909,0.12592592592592594,0.23392857142857146,0.25535714285714284,0.14464285714285716,0.18727272727272729,0.2725663716814159,0.14690265486725665,0.12758620689655173,0.16296296296296298,0.2517857142857143,0.26608695652173914,0.15178571428571427,0.20733944954128442,0.1592592592592593,0.175,0.13103448275862067,0.24036697247706418,0.09541284403669725,0.13050847457627118,0.1257142857142857,0.23728813559322035,0.24070796460176994,0.13873873873873874,0.31130434782608696,0.17090909090909093,0.15140186915887846,0.1631578947368421,0.24347826086956523,0.20733944954128442,0.17272727272727273,0.21196581196581196,0.17435897435897438,0.1875,0.2261682242990654,0.17333333333333334,0.20181818181818184,0.16981132075471697,0.19821428571428573,0.22752293577981655,0.18260869565217394,0.15714285714285717,0.21071428571428572,0.1767857142857143,0.11074380165289258,0.1592233009708738,0.18214285714285713,0.20357142857142857,0.20512820512820512,0.14205607476635512,0.21454545454545457,0.227027027027027,0.1426086956521739,0.2277777777777778,0.11090909090909092,0.1694915254237288,0.21864406779661016,0.1471698113207547,0.20357142857142854,0.12869565217391304,0.18434782608695655,0.16226415094339625,0.16428571428571428,0.2310344827586207,0.13333333333333333,0.15384615384615385,0.22479338842975205,0.16216216216216217,0.21355932203389832,0.14128440366972478,0.27155963302752295,0.16134453781512603,0.15855855855855858,0.22264150943396227,0.23652173913043478,0.20370370370370375,0.10796460176991152,0.13166666666666668,0.16036036036036036,0.22666666666666668,0.08990825688073395,0.2679245283018868,0.19669421487603306
"(0.80,1.00]",0.028571428571428574,0.10526315789473686,0.23500000000000001,0.1559322033898305,0.12272727272727274,0.03720930232558139,0.172,0.13076923076923078,0.18181818181818182,0.15918367346938778,0.13913043478260875,0.17647058823529416,0.15555555555555556,0.07058823529411765,0.08000000000000002,0.11372549019607844,0.1125,0.2042553191489362,0.06274509803921569,0.10588235294117648,0.3045454545454546,0.21509433962264154,0.14444444444444446,0.18461538461538463,0.276,0.10000000000000003,0.05384615384615385,0.08444444444444445,0.04583333333333333,0.17358490566037738,0.3166666666666667,0.19999999999999998,0.05106382978723405,0.21176470588235297,0.17272727272727273,0.2,0.1829787234042553,0.14181818181818184,0.10909090909090913,0.0730769230769231,0.128,0.11818181818181818,0.124,0.14400000000000002,0.0217391304347826,0.17391304347826086,0.10666666666666669,0.14909090909090908,0.04313725490196078,0.1674418604651163,0.01923076923076924,0.03333333333333333,0.18113207547169813,0.11111111111111113,0.07719298245614035,0.15,0.28571428571428575,0.03673469387755104,0.19555555555555554,0.10384615384615385,0.3488372093023256,0.15925925925925924,-0.057142857142857155,0.12156862745098042,0.1333333333333334,0.059574468085106386,0.07346938775510205,0.22399999999999998,0.11063829787234045,0.08679245283018869,0.20400000000000001,0.15813953488372093,0.2085106382978723,0.11914893617021277,0.18461538461538457,0.06799999999999999,0.3422222222222222,0.11372549019607844,0.19999999999999998,0.22692307692307695,0.16862745098039214,0.11818181818181817,0.1702127659574468,-0.010909090909090917,0.17674418604651165,0.0692307692307692,0.1450980392156863,0.15217391304347827,0.2777777777777778,0.23913043478260873
