,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE
"(0.10,0.45]",-0.07572815533980583,-0.16521739130434782,-0.11774193548387098,-0.17500000000000002,-0.13064516129032258,-0.05660377358490566,-0.15575221238938056,-0.1769911504424779,-0.10862068965517242,-0.15818181818181817,-0.08717948717948719,-0.07304347826086957,-0.2055045871559633,-0.08067226890756302,-0.03333333333333333
"(0.45,0.80]",-0.3563218390804598,-0.358695652173913,-0.42429906542056073,-0.42608695652173917,-0.31666666666666665,-0.35714285714285715,-0.38800000000000007,-0.35053763440860214,-0.378494623655914,-0.3755102040816326,-0.2897959183673469,-0.3644444444444444,-0.375,-0.3710843373493976,-0.3401869158878505
"(0.80,1.00]",-0.2543478260869565,-0.25909090909090915,-0.2636363636363636,-0.09534883720930233,-0.29999999999999993,-0.3487804878048781,-0.20421052631578945,-0.2539325842696629,-0.3166666666666667,-0.18709677419354837,-0.35,-0.24175824175824176,-0.19000000000000003,-0.17078651685393256,-0.28080808080808084
