,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE
"(0.10,0.45]",-0.04132231404958678,-0.07130434782608695,-0.05263157894736842,-0.031034482758620682,0.017543859649122806,-0.12666666666666665,-0.011864406779661005,-0.08363636363636363,-0.05901639344262295,0.1102803738317757,-0.11475409836065574,-0.07768595041322315,-0.12072072072072074,-0.06557377049180328,-0.04273504273504273,0.031481481481481485,-0.07394957983193277,-0.1073170731707317,-0.02184873949579833,-0.12100840336134452,-0.008928571428571438,-0.10172413793103449,-0.056198347107438006,-0.06725663716814158,-0.11192660550458715,0.003252032520325201,0.016949152542372888,-0.08524590163934428,-0.06942148760330577,-0.05233644859813084,-0.028813559322033885,-0.07863247863247863,-0.1426086956521739,0.05,-0.23760683760683765,0.023853211009174313,-0.029310344827586203,-0.05344827586206896,-0.09999999999999999,-0.09523809523809522,0.014414414414414415,-0.05486725663716814,0.009677419354838722,-0.12252252252252252,-0.02608695652173914,-0.020512820512820516,-0.0807017543859649,-0.05882352941176471,-0.16440677966101694,-0.12991452991452987,0.03478260869565219,-0.029999999999999985,-0.0711864406779661,-0.11964285714285716,0.00877192982456141,-0.019130434782608705,-0.09917355371900827,-0.06766917293233081,0.03200000000000001,-0.06837606837606838,-0.16666666666666666,-0.04297520661157025,0.02314049586776861,-0.08264462809917356,-0.09152542372881355,-0.05585585585585584,-0.18461538461538463,0.006896551724137937,-0.015384615384615377,-0.02342342342342341,-0.043333333333333335,-0.06890756302521009,-0.043636363636363626,-0.006779661016949136,-0.022950819672131154,-0.1094017094017094,-0.04462809917355371,0.11785714285714285,-0.14621848739495796,0.016949152542372888,0.03008849557522124,-0.0793103448275862,-0.09999999999999999,0.005555555555555556,-0.12033898305084748,-0.06666666666666665,-0.039999999999999994,0.023931623931623937,-0.19633027522935778,-0.029032258064516127
"(0.45,0.80]",0.1383177570093458,-0.07289719626168223,-1.0092936587501423e-17,0.15700934579439252,-0.011965811965811968,-0.041999999999999996,-0.007547169811320755,-0.07927927927927927,-0.022429906542056073,-0.055555555555555566,0.027999999999999997,0.06379310344827585,0.09541284403669727,0.07850467289719625,-0.1259259259259259,0.08363636363636363,0.0074766355140186746,0.04299065420560747,0.03243243243243243,-0.07999999999999999,0.07962962962962962,-0.0954954954954955,0.08363636363636363,0.06601941747572815,0.04299065420560748,-0.014814814814814815,0.05504587155963303,0.21153846153846156,-0.03783783783783784,0.023853211009174317,-0.020754716981132085,0.04259259259259259,0.01454545454545455,0.12710280373831773,-0.04918032786885245,0.03578947368421051,-0.040776699029126215,0.02264150943396226,0.0417391304347826,0.1405940594059406,0.03928571428571429,0.005405405405405402,0.033009708737864074,-0.05254237288135593,0.12038834951456308,-0.0054054054054054074,-0.016216216216216228,0.12745098039215685,-0.020952380952380945,0.1096153846153846,0.05739130434782607,0.05585585585585587,-0.022018348623853216,0.061538461538461514,-0.05245901639344262,0.11958762886597936,-0.0038095238095238212,0.0781818181818182,-0.03925233644859813,-0.06728971962616824,0.011428571428571429,0.005405405405405402,-0.005555555555555548,-0.06371681415929205,-0.11153846153846156,0.1850467289719626,0.05892857142857143,-0.01714285714285715,0.03925233644859813,0.039252336448598116,0.08849557522123894,0.06153846153846154,0.14,-0.09322033898305086,0.020754716981132067,0.031192660550458714,-0.07663551401869158,0.08518518518518518,0.15238095238095237,-0.11192660550458715,-0.010909090909090917,0.0055045871559633,0.06326530612244896,0.027350427350427343,0.04070796460176991,0.06788990825688072,-0.07254901960784313,-0.050434782608695654,0.0036363636363636377,-0.06464646464646463
"(0.80,1.00]",0.08433734939759036,0.022516556291390735,0.11328671328671328,0.13061224489795917,0.04074074074074075,0.08609271523178808,0.08957055214723926,0.03333333333333334,0.09929078014184398,0.07947019867549669,0.10259740259740259,0.03612903225806452,0.089873417721519,0.13246753246753246,0.03513513513513514,0.15194805194805194,0.025641025641025647,0.092,0.034899328859060406,0.15270270270270273,0.055214723926380355,0.04968152866242038,0.014723926380368105,0.18000000000000002,0.07532467532467532,0.0779874213836478,0.13469387755102039,0.11282051282051284,0.11830985915492959,0.10987654320987653,0.07450980392156861,-0.006329113924050639,0.1530201342281879,0.14437086092715232,0.026582278481012654,0.07549668874172187,0.015189873417721515,0.15405405405405403,0.10129870129870129,0.16285714285714284,0.014379084967320257,0.04790419161676647,0.125,0.033121019108280254,0.1019867549668874,0.13164556962025317,0.09740259740259741,0.06621621621621622,0.06405228758169934,0.07105263157894737,0.10193548387096775,0.0423076923076923,0.03333333333333333,0.12857142857142856,0.10641025641025642,0.00810810810810811,0.11923076923076924,0.09090909090909091,0.09664429530201342,0.04968152866242038,0.06923076923076923,0.014285714285714275,0.14666666666666667,0.06787878787878787,0.16834532374100722,0.019230769230769218,-0.003973509933774839,0.11499999999999999,0.15302013422818792,0.06329113924050632,0.07450980392156864,0.09798657718120807,0.05657894736842104,0.0720496894409938,0.12108843537414966,0.0891566265060241,0.08028169014084506,0.08552631578947369,0.008275862068965517,0.10379746835443036,0.09936305732484076,0.08374999999999999,0.15131578947368424,0.008108108108108119,0.1681528662420382,-0.02483660130718955,0.08533333333333333,0.04266666666666667,0.09729729729729727,0.09999999999999998
