levetiracetam,propofol,midazolam,lacosamide,phenobarbital,valproate,iic,count
TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,"[0.75,1.00]",2
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"[0.0,0.25)",6
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"[0.25,0.50)",1
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"[0.50,0.75)",2
TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"[0.75,1.00]",2
TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"[0.25,0.50)",1
TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,"[0.75,1.00]",1
TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"[0.0,0.25)",1
TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"[0.0,0.25)",7
TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"[0.25,0.50)",6
TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"[0.50,0.75)",4
TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"[0.75,1.00]",16
TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"[0.50,0.75)",1
TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"[0.75,1.00]",4
TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"[0.0,0.25)",2
TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"[0.50,0.75)",1
TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"[0.0,0.25)",2
TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"[0.25,0.50)",1
TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"[0.50,0.75)",1
TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"[0.75,1.00]",10
TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,"[0.75,1.00]",2
TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"[0.0,0.25)",1
