,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE
"(0.10,0.45]",0.05443037974683543,0.05060240963855422,0.027536231884057964,0.023684210526315797,0.048051948051948054,-0.010256410256410255,-0.010126582278481016,0.032467532467532464,0.08266666666666665,0.06753246753246754,0.06363636363636364,0.0038961038961038896,0.024000000000000004,-0.034355828220858885,0.05369127516778523,0.016774193548387103,-0.04183006535947713,0.03766233766233766,0.038157894736842106,-0.052348993288590606,0.05465838509316769,0.019354838709677417,0.0335483870967742,0.022368421052631576,0.055319148936170216,-0.016969696969696975,0.048717948717948725,-0.06013071895424836,0.010526315789473684,0.08025477707006369,0.01456953642384106,0.046835443037974676,-0.0039215686274509725,-0.0379746835443038,-0.019858156028368802,0.012269938650306744,0.08079470198675497,-0.010884353741496596,0.04878048780487805,0.06000000000000001,0.04129032258064517,0.05732484076433121,0.03250000000000001,0.0527027027027027,-0.027272727272727275,-0.007547169811320764,-0.01688311688311688,0.09664429530201342,-0.013664596273291921,0.005161290322580644,0.08219178082191782,0.06451612903225806,0.07945205479452053,-0.016149068322981363,-0.0013157894736842044,-0.003749999999999999,0.06133333333333333,0.06375,0.06797385620915034,-0.025503355704697986,0.05571428571428571,0.005952380952380956,0.03636363636363636,0.06535947712418301,0.016352201257861642,0.10933333333333335,0.09342105263157896,-0.017948717948717947,0.07402597402597402,0.01273885350318472,0.0857142857142857,0.07215189873417722,0.006578947368421048,0.05256410256410257,0.1025974025974026,0.037974683544303806,0.013580246913580243,-0.009859154929577469,0.010256410256410255,0.07466666666666666,0.04615384615384616,0.04551724137931034,0.011464968152866246,0.028750000000000008,0.044897959183673466,-0.03354037267080746,0.06493506493506493,-0.06845637583892616,0.0503225806451613,0.05189873417721518
"(0.45,0.80]",0.12755905511811022,0.1663865546218487,0.2614035087719298,0.25,0.24778761061946902,0.11382113821138211,0.17719298245614035,0.10158730158730159,0.18666666666666665,0.1913793103448276,0.2016949152542373,0.17142857142857143,0.176,0.27359999999999995,0.22727272727272727,0.2873949579831933,0.21439999999999998,0.07413793103448277,0.23307086614173234,0.22162162162162163,0.1672131147540984,0.20944881889763783,0.19649122807017544,0.20168067226890757,0.28034188034188035,0.12283464566929135,0.11724137931034483,0.14311926605504588,0.28091603053435116,0.19666666666666666,0.2540983606557377,0.12698412698412698,0.15714285714285717,0.16451612903225804,0.2736842105263158,0.17540983606557378,0.24354838709677418,0.17235772357723578,0.18584070796460178,0.13833333333333334,0.16065573770491803,0.2559322033898305,0.1791304347826087,0.20967741935483872,0.2049586776859504,0.22727272727272727,0.2698412698412698,0.14838709677419354,0.18474576271186444,0.23902439024390243,0.1865546218487395,0.18771929824561404,0.1487603305785124,0.2656,0.0515625,0.2774774774774775,0.2628099173553719,0.1423728813559322,0.15333333333333332,0.17704918032786887,0.16379310344827586,0.18974358974358976,0.2062992125984252,0.17435897435897435,0.2135593220338983,0.136,0.17647058823529413,0.21896551724137933,0.1696,0.1858267716535433,0.1693548387096774,0.24403669724770644,0.1579831932773109,0.1380952380952381,0.22434782608695655,0.21791044776119406,0.28545454545454546,0.09482758620689655,0.23593749999999997,0.11833333333333335,0.2839285714285714,0.1658119658119658,0.19193548387096773,0.18991596638655464,0.20999999999999996,0.18842975206611573,0.2285714285714286,0.2784,0.09908256880733946,0.15714285714285717
"(0.80,1.00]",0.12954545454545455,0.17777777777777776,0.23448275862068968,0.20487804878048785,0.27045454545454545,0.1558139534883721,0.15476190476190477,0.16428571428571428,0.1659090909090909,0.2096385542168675,0.1954545454545455,0.2211764705882353,0.15,0.1846153846153846,0.1422222222222222,0.27710843373493976,0.12048192771084337,0.12000000000000001,0.23255813953488372,0.16,0.20249999999999999,0.21411764705882355,0.1930232558139535,0.1811764705882353,0.20481927710843373,0.10714285714285714,0.2,0.15,0.2607594936708861,0.22150537634408604,0.20000000000000004,0.1285714285714286,0.26153846153846155,0.1409090909090909,0.18571428571428572,0.15,0.3341772151898735,0.10909090909090911,0.1595505617977528,0.14074074074074078,0.31162790697674414,0.11685393258426967,0.1728395061728395,0.2091954022988506,0.1863636363636364,0.1418604651162791,0.13176470588235295,0.2376470588235294,0.1880952380952381,0.24597701149425286,0.2423529411764706,0.1953488372093023,0.047191011235955045,0.22469135802469134,0.0878048780487805,0.3340659340659341,0.09156626506024095,0.11666666666666667,0.18709677419354837,0.2607594936708861,0.15581395348837207,0.1623529411764706,0.17176470588235293,0.2357142857142857,0.24269662921348317,0.10602409638554218,0.17073170731707318,0.19770114942528738,0.2827586206896551,0.21463414634146344,0.19761904761904764,0.16,0.15172413793103448,0.2288888888888889,0.15443037974683543,0.1717647058823529,0.08915662650602409,0.21818181818181817,0.1402298850574713,0.32142857142857145,0.1576470588235294,0.2,0.054117647058823534,0.20714285714285713,0.16444444444444442,0.20769230769230768,0.19090909090909092,0.0951219512195122,0.3035294117647059,0.13258426966292136
