,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE
"(0.10,0.45]",-0.03129251700680272,-0.009589041095890401,-0.04409448818897638,0.011347517730496455,0.03503649635036496,-0.016901408450704217,-0.041379310344827586,-0.018571428571428576,0.028148148148148155,0.04817518248175184,0.04366197183098592,-0.024113475177304968,-0.03731343283582089,-0.04054054054054054,0.0391304347826087
"(0.45,0.80]",0.09391304347826088,0.24299065420560748,0.16111111111111112,0.10693069306930691,0.19642857142857142,0.1794871794871795,0.20353982300884957,0.2814159292035398,0.16153846153846155,0.23243243243243242,0.2574074074074074,0.14054054054054055,0.2205607476635514,0.2596491228070176,0.1798165137614679
"(0.80,1.00]",0.18064516129032257,0.09577464788732395,0.16226415094339622,0.2216216216216216,0.061016949152542375,0.041509433962264156,0.1559322033898305,0.11562500000000002,0.19999999999999998,0.1368421052631579,0.20298507462686566,0.26129032258064516,0.22758620689655173,0.13714285714285715,0.1241379310344828
