T,Gender,Age,marrital,Hx CVA (including TIA),Hx HTN,Hx Sz /epilepsy,Hx brain surgery,Hx CKD,Hx CAD/MI,Hx CHF,Hx DM,Hx of HLD,Hx tobacco (including ex-smokers),Hx ETOH abuse any time in their life (just when in the hx is mentioned),"Hx other substance abuse, any time in their life",Hx cancer (other than CNS cancer),Hx CNS cancer,Hx COPD/ Asthma,"premorbid MRS before admission  (modified ranking scale),before admission",hydrocephalus  (either on admission or during hospital course)   QPID,iMV  (initial (on admission) mechanical ventilation),Primary systemic dx Sepsis/Shock,Worst GCS in 1st 24,neuro_dx_Seizures/status epilepticus,prim_dx_Respiratory disorders,mRS,E,lacosamide,levetiracetam,midazolam,pentobarbital,phenobarbital,propofol,valproate,alpha0,alpha[1],alpha[2],b[lacosamide],b[levetiracetam],b[midazolam],b[pentobarbital],b[phenobarbital],b[propofol],b[valproate],Y,drug
"(0.0, 0)",0.8888888888888888,50.56111111111111,0.4444444444444444,0.2222222222222222,0.5555555555555556,0.1111111111111111,0.0,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.0,0.0,0.1111111111111111,0.5555555555555556,0.1111111111111111,0.7777777777777778,0.4444444444444444,5.444444444444445,0.1111111111111111,0.5555555555555556,5.111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.10959052335773965,0.0,-9.304811397525766,0.15110038325223177,0.1738040148663108,0.0,0.0,0.0,0.0,0.0,2.5430900072363856,0.0,0.8888888888888888,0
"(0.0, 1)",0.7307692307692307,57.662692307692296,0.4230769230769231,0.23076923076923078,0.5769230769230769,0.19230769230769232,0.0,0.15384615384615385,0.3076923076923077,0.19230769230769232,0.3076923076923077,0.2692307692307692,0.5769230769230769,0.34615384615384615,0.2692307692307692,0.19230769230769232,0.038461538461538464,0.07692307692307693,1.0,0.15384615384615385,0.8461538461538461,0.11538461538461539,5.346153846153846,0.38461538461538464,0.34615384615384615,4.115384615384615,0.0,0.23579468419184718,21.779614742122778,0.09654712789074534,0.0,0.09963320995996752,6.6208141788262775,0.0,-9.3401424315185,0.13499904660878342,0.18854743318731454,0.3510804273277338,4.562006399544348,3.1003382929806778,0.0,0.06000203887946664,18.48170166891686,0.0,0.6923076923076923,1
"(0.17, 0)",0.41379310344827586,57.75873563218392,0.5057471264367817,0.22988505747126436,0.47126436781609193,0.14942528735632185,0.09195402298850575,0.13793103448275862,0.13793103448275862,0.06896551724137931,0.16091954022988506,0.2988505747126437,0.45977011494252873,0.25287356321839083,0.12643678160919541,0.22988505747126436,0.034482758620689655,0.13793103448275862,1.2988505747126438,0.22988505747126436,0.2413793103448276,0.14942528735632185,10.942528735632184,0.21839080459770116,0.1724137931034483,3.781609195402299,0.12553231657382774,0.0,0.0,0.0,0.0,0.0,0.022179064734194134,0.0,-2.6681510913562674,0.05625718526229014,0.1910314658274248,0.0,0.0,0.0,0.0,0.0,0.49700154508196154,0.0,0.6436781609195402,0
"(0.17, 1)",0.5102880658436214,59.33440329218108,0.4773662551440329,0.17695473251028807,0.5102880658436214,0.13991769547325103,0.03292181069958848,0.09876543209876543,0.14814814814814814,0.04938271604938271,0.1934156378600823,0.3004115226337449,0.43621399176954734,0.24279835390946503,0.11934156378600823,0.13168724279835392,0.02880658436213992,0.14814814814814814,1.0617283950617284,0.2674897119341564,0.5679012345679012,0.09876543209876543,7.20164609053498,0.2345679012345679,0.3168724279835391,4.246913580246914,0.11580925089597824,0.7211707743293054,35.92279017285559,0.06184269118865837,0.15163565412676336,1.0437586825821867,4.462836325932304,2.4624155295842156,-5.130175264082701,0.08889936031450343,0.17183889788456339,1.615406762819606,4.143614683654829,2.7242069297293416,0.020802827295745015,0.4080971630774279,11.022806836102593,0.4100205956622666,0.7736625514403292,1
"(0.5, 0)",0.48484848484848486,63.615454545454554,0.5454545454545454,0.12121212121212122,0.48484848484848486,0.21212121212121213,0.12121212121212122,0.06060606060606061,0.12121212121212122,0.0,0.21212121212121213,0.42424242424242425,0.42424242424242425,0.24242424242424243,0.030303030303030304,0.21212121212121213,0.12121212121212122,0.09090909090909091,0.9393939393939394,0.18181818181818182,0.24242424242424243,0.030303030303030304,11.424242424242424,0.21212121212121213,0.15151515151515152,3.6666666666666665,0.48176536820085925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2599924625813488,0.20450709886453583,0.1798541621583617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0
"(0.5, 1)",0.40707964601769914,59.837345132743344,0.45132743362831856,0.22123893805309736,0.5309734513274337,0.1592920353982301,0.168141592920354,0.10619469026548672,0.20353982300884957,0.12389380530973451,0.23008849557522124,0.23008849557522124,0.48672566371681414,0.22123893805309736,0.09734513274336283,0.18584070796460178,0.12389380530973451,0.13274336283185842,1.415929203539823,0.2831858407079646,0.48672566371681414,0.11504424778761062,8.300884955752212,0.24778761061946902,0.3008849557522124,4.442477876106195,0.497055553554978,1.0278552461144643,40.01342095104369,0.10250482463006998,0.0,0.5381005874495972,2.9815217957465707,2.5993749336525753,-1.466983321349175,0.11912501201261898,0.11213001164391351,0.22969756146999204,2.088606224844365,3.3171522990132356,0.0,0.2787125517848473,4.623372373171592,0.4315543692085659,0.8141592920353983,1
"(0.83, 0)",0.48333333333333334,60.621583333333334,0.5583333333333333,0.225,0.6666666666666666,0.3333333333333333,0.25,0.14166666666666666,0.19166666666666668,0.11666666666666667,0.2,0.35833333333333334,0.45,0.20833333333333334,0.075,0.21666666666666667,0.175,0.16666666666666666,1.55,0.11666666666666667,0.15833333333333333,0.14166666666666666,11.191666666666666,0.3333333333333333,0.18333333333333332,3.875,0.9339492315888481,0.0,0.0,0.0,0.0,0.0,0.01853642262019291,0.0,0.21805508820014524,0.28919335842227956,0.23841404055196172,0.0,0.0,0.0,0.0,0.0,1.021547745628764,0.0,0.6833333333333333,0
"(0.83, 1)",0.4627659574468085,59.2230585106383,0.5212765957446809,0.17819148936170212,0.5132978723404256,0.17553191489361702,0.11170212765957446,0.10904255319148937,0.14361702127659576,0.10106382978723404,0.2074468085106383,0.2898936170212766,0.47074468085106386,0.2154255319148936,0.13031914893617022,0.19148936170212766,0.09308510638297872,0.13829787234042554,1.196808510638298,0.2632978723404255,0.5026595744680851,0.15691489361702127,7.952127659574468,0.2632978723404255,0.36436170212765956,4.61968085106383,0.940077029497713,0.9835567496670237,44.66748355449922,0.21495688507921681,1.2959000325014673,0.42533870828948583,3.6979913457652374,5.42300218999914,0.8958103254381983,0.2341902926639279,0.20023203541616383,0.565571690873626,1.6126050723300922,2.1415819267104252,0.2569902794311709,0.29423402819339556,3.5451267668843633,0.5571088448403225,0.8856382978723404,1
