,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE,ATE
"(0.10,0.45]",0.0116504854368932,-0.03486238532110091,0.07272727272727272,0.0019999999999999983,0.04999999999999999,-0.04716981132075472,-0.18151260504201683,0.08421052631578947,0.01666666666666667,0.02385321100917431,-0.00792079207920792,0.023214285714285715,-0.012500000000000008,-0.0019801980198019776,-0.0055045871559633,0.005217391304347829,0.012121212121212128,-0.02407407407407407,-0.0018018018018018014,-0.06181818181818183,0.031683168316831684,0.0019999999999999996,0.01565217391304348,-0.039252336448598144,0.02752293577981652,0.015384615384615384,0.005504587155963304,-0.01946902654867256,0.03366336633663367,-0.0018518518518518493,-0.014953271028037379,-0.038888888888888896,0.02242990654205607,-5.9476233462061954e-18,-0.10784313725490197,-0.016666666666666666,0.009009009009009016,0.024999999999999998,-0.02616822429906542,0.04385964912280702,0.009433962264150943,-0.02549019607843137,0.02905982905982905,-0.0059405940594059415,0.0038461538461538472,0.01886792452830188,0.0018018018018017914,-0.047619047619047616,-0.013084112149532711,0.026923076923076935,-0.02882882882882883,0.10800000000000001,2.1147105230955365e-18,-0.052991452991453,0.11923076923076924,-0.03818181818181818,-0.06481481481481481,-0.0719298245614035,0.114,-0.05555555555555555,0.08727272727272728,-0.01904761904761905,-0.014953271028037392,-0.011009174311926603,-0.07454545454545454,0.08932038834951457,-0.06078431372549021,-0.022807017543859647,0.05094339622641509,0.06981132075471698,-0.01043478260869565,-0.11683168316831684,-0.013461538461538459,-0.038016528925619825,0.012371134020618556,0.09702970297029703,-0.04070796460176991,-0.07407407407407408,0.04954128440366973,-0.10810810810810811,0.1411764705882353,0.06607142857142857,0.0040000000000000036,-0.0890909090909091,0.00683760683760684,0.03877551020408164,-0.005607476635514026,-0.05454545454545454,0.09423076923076924,-0.027777777777777783
"(0.45,0.80]",0.16734693877551018,0.06990291262135924,0.03296703296703296,-0.0020618556701030993,0.07916666666666665,0.11515151515151516,0.07551020408163266,0.18600000000000003,-0.02340425531914895,0.19611650485436893,-0.0021739130434782557,0.10103092783505155,0.15192307692307694,-0.052083333333333336,0.04565217391304349,0.07391304347826087,0.094,0.08800000000000001,0.057142857142857155,0.057142857142857134,0.037500000000000006,-0.002000000000000004,-0.01935483870967742,0.11717171717171716,0.03958333333333333,0.128,0.07083333333333335,0.041237113402061855,0.12121212121212122,0.08541666666666665,0.017204301075268814,0.01999999999999999,0.13737373737373737,0.0425531914893617,0.11919191919191917,0.05252525252525253,0.09444444444444446,0.11764705882352941,0.008080808080808084,0.10103092783505155,0.10833333333333332,0.010101010101010091,0.11874999999999998,-0.075,0.04074074074074074,0.05894736842105264,0.021978021978021973,0.07924528301886793,0.019565217391304356,0.14455445544554454,0.012121212121212123,0.040000000000000015,0.08541666666666668,0.1584158415841584,0.05833333333333333,0.05660377358490566,0.14,0.048,0.1274725274725275,0.10693069306930691,-0.044705882352941186,0.15490196078431373,-0.01142857142857143,0.05688073394495413,0.16435643564356434,0.03414634146341463,0.09230769230769233,0.16701030927835053,0.05576923076923076,0.08888888888888889,0.01020408163265305,0.04615384615384614,0.13052631578947368,-0.02342342342342342,0.01395348837209302,0.09375,0.1072164948453608,0.024242424242424232,0.05591397849462366,0.055555555555555566,0.06605504587155964,0.10666666666666669,0.049019607843137254,0.055999999999999994,0.08125,0.059183673469387764,0.12040816326530612,0.04042553191489361,0.11926605504587157,-0.020224719101123587
"(0.80,1.00]",0.1542483660130719,0.18095238095238095,0.11690140845070424,0.06713286713286713,0.2090909090909091,0.034482758620689655,0.0929936305732484,0.1710144927536232,0.09115646258503401,0.09859154929577464,0.13154362416107382,0.10463576158940395,0.17622377622377625,0.09517241379310346,0.14025974025974025,0.19027777777777777,0.04868421052631578,0.1876712328767123,0.11320754716981132,0.15034482758620688,0.10579710144927534,0.12278481012658227,0.12340425531914895,0.21398601398601397,0.1238709677419355,0.09517241379310346,0.13098591549295777,0.047999999999999994,0.23741007194244604,0.10718954248366012,0.08391608391608393,0.11153846153846153,0.1300699300699301,0.1841726618705036,0.09403973509933777,0.11447368421052631,0.01066666666666667,0.1348148148148148,0.19745222929936304,0.13209876543209875,0.10075187969924813,0.10612244897959183,0.16666666666666666,0.11621621621621624,0.14027777777777778,0.1619718309859155,0.14685314685314685,0.04203821656050957,0.1503267973856209,0.1801418439716312,0.056756756756756746,0.06315789473684211,0.08917197452229299,0.1513157894736842,0.18676470588235294,0.031111111111111124,0.1263157894736842,0.17202797202797201,0.12201257861635219,0.06428571428571428,0.1414285714285714,0.07248322147651007,0.16993464052287582,0.0966887417218543,0.2028169014084507,0.036241610738255034,0.16312056737588654,0.02307692307692307,0.07034482758620689,0.1432258064516129,0.15664335664335668,0.14305555555555555,0.11788079470198676,0.12452830188679245,0.1393939393939394,0.037333333333333336,0.09142857142857143,0.15526315789473685,0.09577464788732394,0.05695364238410595,0.1516778523489933,0.1361111111111111,0.14834437086092714,0.10476190476190478,0.06802721088435375,0.2095890410958904,0.025503355704697982,0.225,0.02684563758389263,0.10354609929078012
