var mean se_mean sd 2.5% 25% 50% 75% 97.5% n_eff Rhat
alpha0[11] -1.22 0.00016 0.00043 -1.22 -1.22 -1.22 -1.22 -1.21 8 1.22
alpha0[12] 0.07 0.0003 0.00051 0.07 0.07 0.07 0.07 0.07 3 2.26
alpha0[13] 0.03 0.00021 0.00045 0.03 0.03 0.03 0.03 0.04 5 1.43
alpha0[14] 1.21 5.2E-05 0.00023 1.21 1.21 1.21 1.21 1.21 19 1
alpha0[15] 1.32 0.00017 0.00036 1.32 1.32 1.32 1.32 1.32 5 1.38
alpha0[16] 1.02 0.00018 0.00042 1.02 1.02 1.02 1.02 1.02 5 1.27
alpha0[17] -0.4 0.00019 0.00038 -0.4 -0.4 -0.4 -0.4 -0.4 4 1.59
alpha0[18] -1.88 0.00067 0.0015 -1.88 -1.88 -1.88 -1.88 -1.88 5 1.49
alpha0[19] -0.69 0.00019 0.00047 -0.69 -0.69 -0.69 -0.69 -0.69 6 1.17
alpha0[20] 1.63 0.0002 0.00047 1.63 1.63 1.63 1.63 1.63 5 0.99
alpha0[21] 1.59 0.00018 0.0004 1.58 1.59 1.59 1.59 1.59 5 1.03
alpha0[22] -0.49 0.00065 0.0013 -0.49 -0.49 -0.49 -0.49 -0.48 4 1.6
alpha0[23] -1.92 0.00013 0.00037 -1.92 -1.92 -1.92 -1.92 -1.92 9 1.01
alpha0[24] -0.59 0.0002 0.00054 -0.6 -0.59 -0.59 -0.59 -0.59 8 1.41
alpha0[25] 0.06 0.00018 0.00043 0.06 0.06 0.06 0.06 0.06 6 1.02
alpha0[26] -0.0045 0.00015 0.00041 -0.005 -0.0048 -0.0046 -0.0042 -0.0034 8 0.98
alpha0[27] -1.29 9.2E-05 0.00028 -1.29 -1.29 -1.29 -1.29 -1.29 9 1.28
alpha0[28] -1.64 0.00022 0.00058 -1.64 -1.64 -1.64 -1.64 -1.64 7 1.31
alpha0[29] -0.25 0.00012 0.00034 -0.25 -0.25 -0.25 -0.25 -0.25 8 1.19
alpha0[30] 1.17 0.00011 0.00032 1.17 1.17 1.17 1.17 1.18 8 1.17
alpha0[31] -0.77 9.5E-05 0.00025 -0.77 -0.77 -0.77 -0.77 -0.77 7 1.22
alpha0[32] -0.75 0.0002 0.00047 -0.75 -0.75 -0.75 -0.75 -0.75 5 1.35
alpha0[33] -1.93 0.00086 0.0018 -1.93 -1.93 -1.93 -1.93 -1.93 4 1.58
alpha0[34] 0.7 0.00023 0.00041 0.7 0.7 0.7 0.7 0.7 3 1.74
alpha0[35] 1.89 0.00016 0.0004 1.89 1.89 1.89 1.89 1.89 6 1.07
alpha0[36] 1.81 5E-05 0.00023 1.81 1.81 1.81 1.81 1.81 21 1.11
alpha0[37] -0.4 0.00024 0.00043 -0.4 -0.4 -0.4 -0.4 -0.4 3 2.07
alpha0[38] -1.76 0.00015 0.0005 -1.76 -1.76 -1.76 -1.76 -1.76 11 0.98
alpha0[39] -1.69 0.00024 0.00067 -1.69 -1.69 -1.69 -1.69 -1.69 8 1.2
alpha0[40] 1.2 0.00031 0.00073 1.2 1.2 1.2 1.2 1.21 5 1.37
alpha0[41] -0.29 4.9E-05 0.00017 -0.29 -0.29 -0.29 -0.29 -0.29 12 0.98
alpha0[42] 0.23 0.00066 0.0011 0.23 0.23 0.23 0.23 0.23 3 2.16
alpha0[43] -1.16 5.2E-05 0.00018 -1.16 -1.16 -1.16 -1.16 -1.16 12 1.14
alpha0[44] 0.24 0.00016 0.00047 0.24 0.24 0.24 0.24 0.24 9 1.01
alpha0[45] -1.37 0.00014 0.00043 -1.37 -1.37 -1.37 -1.37 -1.37 10 1.05
alpha0[46] 0.65 0.00022 0.00046 0.65 0.65 0.65 0.65 0.65 4 1.39
alpha0[47] 1.84 0.00014 0.00037 1.84 1.84 1.84 1.84 1.84 7 1.29
alpha0[48] -1.31 0.00031 0.0007 -1.31 -1.31 -1.31 -1.31 -1.31 5 1.44
alpha0[49] -1.78 0.0003 0.00065 -1.78 -1.78 -1.78 -1.78 -1.78 5 1.46
alpha0[50] 1.57 0.00021 0.00054 1.57 1.57 1.57 1.57 1.57 7 1.21
alpha0[51] -0.51 0.00012 0.0003 -0.51 -0.51 -0.51 -0.51 -0.51 7 1.13
alpha0[52] -1.64 0.00032 0.00078 -1.64 -1.64 -1.64 -1.64 -1.64 6 1.2
alpha0[53] 1.53 0.00016 0.00044 1.53 1.53 1.53 1.53 1.53 7 1.26
alpha0[54] 1.49 0.00045 0.00083 1.49 1.49 1.49 1.49 1.5 3 1.77
